chebiId	cid	cmpdType	nsc
CHEBI:15527	NA	NA	NA
CHEBI:15530	NA	NA	NA
CHEBI:15531	NA	NA	NA
CHEBI:15532	NA	NA	NA
CHEBI:15533	NA	NA	NA
CHEBI:15534	NA	NA	NA
CHEBI:15536	NA	NA	NA
CHEBI:15537	NA	NA	NA
CHEBI:15538	NA	NA	NA
CHEBI:15539	NA	NA	NA
CHEBI:15541	NA	NA	NA
CHEBI:15544	5280723	standardized	165559
CHEBI:15547	NA	NA	NA
CHEBI:15551	5280360	standardized	165560,196514
CHEBI:15552	NA	NA	NA
CHEBI:15553	NA	NA	NA
CHEBI:15554	NA	NA	NA
CHEBI:15555	NA	NA	NA
CHEBI:15558	NA	NA	NA
CHEBI:15559	NA	NA	NA
CHEBI:155605	NA	NA	NA
CHEBI:15562	NA	NA	NA
CHEBI:15570	71080	standardized	158286
CHEBI:15573	339	standardized	133837
CHEBI:15589	5459792	standardized	NA
CHEBI:15589	222656	component	9232
CHEBI:15598	NA	NA	NA
CHEBI:15603	6106	standardized	46709,760100
CHEBI:15607	NA	NA	NA
CHEBI:15611	1088	standardized	118114
CHEBI:15614	NA	NA	NA
CHEBI:15621	NA	NA	NA
CHEBI:15625	NA	NA	NA
CHEBI:15626	NA	NA	NA
CHEBI:15627	NA	NA	NA
CHEBI:15628	NA	NA	NA
CHEBI:15630	NA	NA	NA
CHEBI:15632	NA	NA	NA
CHEBI:15633	98792	standardized	165989
CHEBI:15635	NA	NA	NA
CHEBI:15636	NA	NA	NA
CHEBI:15637	NA	NA	NA
CHEBI:15638	NA	NA	NA
CHEBI:15639	NA	NA	NA
CHEBI:15640	6006	standardized	3590
CHEBI:15641	NA	NA	NA
CHEBI:15646	NA	NA	NA
CHEBI:15647	NA	NA	NA
CHEBI:15650	NA	NA	NA
CHEBI:15651	NA	NA	NA
CHEBI:15652	NA	NA	NA
CHEBI:15655	NA	NA	NA
CHEBI:15672	439655	standardized	155080
CHEBI:15676	204	standardized	7606,757792
CHEBI:15678	NA	NA	NA
CHEBI:15681	NA	NA	NA
CHEBI:15682	NA	NA	NA
CHEBI:15694	NA	NA	NA
CHEBI:15697	NA	NA	NA
CHEBI:15698	NA	NA	NA
CHEBI:15699	12647	standardized	206251
CHEBI:15700	NA	NA	NA
CHEBI:15701	NA	NA	NA
CHEBI:15705	750	standardized	25936,760120
CHEBI:15708	5289496	standardized	NA
CHEBI:15708	444212	component	43980,7616
CHEBI:15710	NA	NA	NA
CHEBI:15713	NA	NA	NA
CHEBI:157175	3229	standardized	629661,627409,758416
CHEBI:15717	NA	NA	NA
CHEBI:15721	NA	NA	NA
CHEBI:15725	428	standardized	8154
CHEBI:15727	439224	standardized	524045
CHEBI:15728	500	standardized	521717
CHEBI:15729	6262	standardized	758894
CHEBI:15734	NA	NA	NA
CHEBI:15738	NA	NA	NA
CHEBI:15740	NA	NA	NA
CHEBI:15741	1110	standardized	106449,25949
CHEBI:15743	261	standardized	62779
CHEBI:15745	NA	NA	NA
CHEBI:15746	1103	standardized	268508
CHEBI:15748	NA	NA	NA
CHEBI:15750	NA	NA	NA
CHEBI:15753	NA	NA	NA
CHEBI:15754	NA	NA	NA
CHEBI:15756	985	standardized	5030
CHEBI:15757	NA	NA	NA
CHEBI:15760	5610	standardized	249188
CHEBI:15763	NA	NA	NA
CHEBI:15765	6047	standardized	118381,759573
CHEBI:15767	6344	standardized	406122
CHEBI:15768	9305	standardized	4143
CHEBI:15769	NA	NA	NA
CHEBI:1576	NA	NA	NA
CHEBI:15772	NA	NA	NA
CHEBI:15784	NA	NA	NA
CHEBI:15785	NA	NA	NA
CHEBI:15786	NA	NA	NA
CHEBI:15792	9084	standardized	NA
CHEBI:15792	867	component	8124
CHEBI:15793	86	standardized	522891
CHEBI:15794	3806	standardized	153189,622948,34266
CHEBI:15799	NA	NA	NA
CHEBI:15801	NA	NA	NA
CHEBI:15804	NA	NA	NA
CHEBI:15809	NA	NA	NA
CHEBI:15811	68841	standardized	760136
CHEBI:15812	NA	NA	NA
CHEBI:15816	NA	NA	NA
CHEBI:15820	NA	NA	NA
CHEBI:15824	NA	NA	NA
CHEBI:15827	NA	NA	NA
CHEBI:1582	NA	NA	NA
CHEBI:15831	NA	NA	NA
CHEBI:15835	NA	NA	NA
CHEBI:15836	NA	NA	NA
CHEBI:15837	31260	standardized	1029,7905
CHEBI:15842	NA	NA	NA
CHEBI:15843	NA	NA	NA
CHEBI:15844	NA	NA	NA
CHEBI:15846	NA	NA	NA
CHEBI:15851	NA	NA	NA
CHEBI:15852	70678529	standardized	NA
CHEBI:15852	962	component	147337
CHEBI:15852	104730	component	NA
CHEBI:15852	6713940	component	NA
CHEBI:15854	3034034	standardized	192949,667852,5362
CHEBI:15857	NA	NA	NA
CHEBI:15859	93072	standardized	14983
CHEBI:15870	NA	NA	NA
CHEBI:15873	NA	NA	NA
CHEBI:15876	NA	NA	NA
CHEBI:15882	996	standardized	36808
CHEBI:15883	NA	NA	NA
CHEBI:15889	NA	NA	NA
CHEBI:15891	1123	standardized	32428,759150
CHEBI:15893	NA	NA	NA
CHEBI:15899	NA	NA	NA
CHEBI:15901	649	standardized	11867
CHEBI:15903	64689	standardized	759603
CHEBI:15904	NA	NA	NA
CHEBI:15905	NA	NA	NA
CHEBI:15918	NA	NA	NA
CHEBI:15919	NA	NA	NA
CHEBI:15920	NA	NA	NA
CHEBI:15927	NA	NA	NA
CHEBI:15930	2256	standardized	163046
CHEBI:15935	NA	NA	NA
CHEBI:15936	644160	standardized	760130
CHEBI:15940	938	standardized	169454,757241
CHEBI:15946	NA	NA	NA
CHEBI:15949	NA	NA	NA
CHEBI:15954	NA	NA	NA
CHEBI:15956	171548	standardized	63865
CHEBI:15958	NA	NA	NA
CHEBI:15963	6912	standardized	25283
CHEBI:15966	23327	standardized	77686
CHEBI:15967	NA	NA	NA
CHEBI:15971	6274	standardized	137773
CHEBI:15978	NA	NA	NA
CHEBI:15982	NA	NA	NA
CHEBI:15986	NA	NA	NA
CHEBI:15991	NA	NA	NA
CHEBI:15994	222865	standardized	9897,60796
CHEBI:15996	NA	NA	NA
CHEBI:15998	666	standardized	619900
CHEBI:15999	979	standardized	100738,666757
CHEBI:16000	NA	NA	NA
CHEBI:16001	NA	NA	NA
CHEBI:16002	NA	NA	NA
CHEBI:16004	NA	NA	NA
CHEBI:16005	NA	NA	NA
CHEBI:16007	878	standardized	229573
CHEBI:160129	NA	NA	NA
CHEBI:16015	33032	standardized	143503
CHEBI:16016	670	standardized	24343
